,info_,location,home prices,room count,m2,age,floor type
0,Satılık Daire,adalar,6200000,3 + 1,130,26,2. Kat
1,Satılık Daire,adalar,7500000,3 + 1,140,30,Bahçe Katı
2,Satılık Daire,adalar,7980000,5 + 1,160,31,Bahçe Katı
3,Satılık Daire,adalar,6250000,4 + 1,170,20,En Üst Kat
4,Satılık Daire,adalar,4600000,4 + 1,140,40,Bahçe Katı
5,Satılık Daire,adalar,9350000,3 + 2,170,35,Ara Kat
6,Satılık Daire,adalar,5000000,3 + 1,140,33,3. Kat
7,Satılık Daire,adalar,2445000,1 + 1,59,36,1. Kat
8,Satılık Daire,adalar,4600000,3 + 1,100,28,Ara Kat
9,Satılık Daire,adalar,5500000,3 + 1,115,30,Ara Kat
10,Satılık Daire,adalar,5900000,3 + 2,150,40,2. Kat
11,Satılık Daire,adalar,6500000,3 + 1,140,49,Çatı Katı
12,Satılık Daire,adalar,6200000,3 + 1,125,40,3. Kat
13,Satılık Daire,adalar,5000000,3 + 1,85,44,Bahçe Katı
14,Satılık Daire,adalar,5449000,4 + 1,160,41,2. Kat
15,Satılık Daire,adalar,3000000,2 + 1,75,30,Bahçe Katı
16,Satılık Daire,adalar,9500000,3 + 1,140,30,2. Kat
17,Satılık Daire,adalar,6500000,3 + 1,140,32,Ara Kat
18,Satılık Daire,adalar,3250000,1 + 1,80,40,Yüksek Giriş
19,Satılık Daire,adalar,5500000,3 + 1,160,25,3. Kat
20,Satılık Daire,adalar,5100000,3 + 1,110,35,2. Kat
21,Satılık Daire,adalar,7500000,3 + 1,120,38,3. Kat
22,Satılık Daire,adalar,4800000,2 + 1,120,32,Yüksek Giriş
23,Satılık Daire,adalar,5750000,3 + 1,160,35,3. Kat
24,Satılık Daire,adalar,7500000,3 + 1,150,35,Ara Kat
25,Satılık Daire,adalar,7900000,3 + 1,150,24,3. Kat
26,Satılık Daire,adalar,3500000,2 + 1,73,52,3. Kat
27,Satılık Daire,adalar,3250000,1 + 1,80,35,Ara Kat
28,Satılık Daire,adalar,10400000,3 + 1,110,2,Ara Kat
29,Satılık Daire,adalar,4250000,3 + 1,135,32,Bahçe Katı
30,Satılık Daire,adalar,7250000,4 + 1,200,31,3. Kat
31,Satılık Daire,adalar,5750000,2 + 1,80,20,2. Kat
32,Satılık Daire,adalar,7600000,3 + 1,120,25,Bahçe Katı
33,Satılık Daire,adalar,4100000,2 + 1,90,30,En Üst Kat
34,Satılık Daire,adalar,5450000,4 + 1,185,51,Ara Kat
35,Satılık Daire,adalar,7500000,4 + 1,173,57,1. Kat
36,Satılık Daire,adalar,6000000,2 + 1,90,35,2. Kat
37,Satılık Daire,adalar,3800000,3 + 1,130,33,Bahçe Katı
